,sentence,polarity,happiness,sadness,anger,surprise,disgust,fear
KI2sU-mhM44[5],difference sp my view on this is democrats are committed sp to getting down the sp cost of sp college and that means sp both on student loans for those who've already got them and it means sp on the cost going forward for anybody going to college sp the,1.67,0.33,0.0,1.0,0.0,0.0,0.0
KI2sU-mhM44[6],their loans okay for openers the united states congress should refinance student loan debt sp,1.33,0.0,0.0,0.67,0.0,0.33,0.0
KI2sU-mhM44[7],sp to just sp bring down at a minimum sp bring down the interest sp payments sp on those loans sp,0.0,0.0,0.67,0.0,0.67,0.0,0.67
KI2sU-mhM44[8],sp of that after you account sp for the bad debt losses and the cost of the sp funds and the administrative cost sp just one section of loans sp the section that went out sp between and sp we just happen to have good numbers on these sp are now sp on target sp to produce sp billion sp in sp profits sp for the united states government sp,1.33,0.0,0.0,0.0,0.0,0.0,0.0
qXisb7w9LjM[0],hampshire sp from the university of new hampshire i went on to marshall university sp,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qXisb7w9LjM[1],sp from there i went to the university of missouri rolla sp and then sp most recently to harvard university in boston sp,0.0,0.0,0.67,0.0,0.0,0.0,0.0
qXisb7w9LjM[2],sp i've also been very fortunate enough to be around some great people as far as staff and players they have really,1.0,0.33,0.0,0.0,0.0,0.0,0.0
CLkTjujFVKU[0],sp how well do you sp know you sp well for one thing you probably don't sp even know his name sp may as well be de mort sp which means flight from death sp in french sp,1.0,1.67,0.0,0.33,0.0,0.0,0.0
CLkTjujFVKU[1],sp when we dig deeper into language sp it enriches our entire experience of life sp whether,2.67,2.0,0.0,0.0,0.0,0.0,0.0
CLkTjujFVKU[2],change your life after sp all sp wouldn't you behave differently if you knew that a mortgage was a death pledge in french sp,0.67,1.67,0.0,0.67,0.33,0.0,0.33
CLkTjujFVKU[3],planet sp isn't that amazing sp and at the same time sp over the last three years sp a third fewer students have enrolled sp in non european language degrees at british universities sp,1.0,1.67,0.0,0.67,2.0,0.0,0.0
CLkTjujFVKU[4],one another sp it has an immense cultural importance sp language is full of history and personality sp,2.33,0.67,0.0,0.67,0.0,0.0,0.0
CLkTjujFVKU[5],right sp language is the soul of humanity it is the closest sp thing our has to sp,2.67,1.67,0.0,1.0,0.33,0.0,0.0
aMtFBGh2wKI[0],score sp you provide them with your credit report instead of them pulling sp your credit report which can potentially drop your score since it's called an sp inquiry sp and the sp bureaus don't like to see too many inquiries so provide,-1.0,0.33,0.33,0.33,0.0,0.0,0.0
aMtFBGh2wKI[1],many inquiries so provide your credit reports to say sp ten different lenders and whoever gives you the best rate sp the best terms sp and the least points or sp charge you the least sp is sp going to be your best lender sp and,0.33,0.33,0.0,0.0,0.0,0.0,0.67
aMtFBGh2wKI[2],lender sp and that's the way to find the best lender for your mortgage sp again,1.0,0.0,0.0,0.0,0.0,0.0,0.0
aMtFBGh2wKI[3],of sp to find a good mortgage lender we sp all know there are sp thousands out there sp as a,1.0,0.0,0.0,0.33,0.0,0.0,0.0
aMtFBGh2wKI[4],out there sp as a matter of fact mortgage is probably one of the most search words sp on the internet sp here's,0.67,0.33,0.0,0.0,0.0,0.0,0.0
aMtFBGh2wKI[5],speak sp you get your own credit report from the three bureaus on sp line sp equifax and sp with sp your score sp,0.0,0.0,0.0,0.33,0.0,0.0,0.33
2OLVF-KEaZU[0],motivational speaker in the sense that he works on your mind and your ability to handle things sp but then,0.67,0.67,0.0,0.0,0.0,0.0,0.0
2OLVF-KEaZU[1],direction sp and having them have a better attitude towards not just their business but their life also after they,0.67,0.0,0.0,0.0,0.0,0.0,0.0
2OLVF-KEaZU[2],sp it's it's kind of vague to look at a question like what is a motivational speaker and think sp,-0.33,0.0,0.0,0.0,0.0,0.0,0.0
Or-9Nc_GAq8[0],time sp these are sp all very important parts to our sp business sp as we sp pursue sp higher margin business sp across the group sp in all our regions and sp all our business sp as well as generating high levels of cash sp and sp improving return on capital sp in terms,0.33,0.0,0.0,0.0,0.0,0.0,0.0
72tXTrSXoMk[0],on this episode we had a great time sp thanks,2.33,2.33,0.0,0.0,0.0,0.0,0.0
72tXTrSXoMk[1],that's right sp and you can sp see here sp at position sp there's sp variation sp some plants,0.33,0.33,0.0,0.0,0.0,0.0,0.0
72tXTrSXoMk[2],variation sp some plants have sp a sp some plants have a and we think sp that this sp position sp whether they have a c or a t sp determines which sp they interact with sp so,0.67,1.0,0.0,0.0,0.0,0.0,0.0
72tXTrSXoMk[3],with sp so while strains sp can vary in how they treat their host plants sp plants are not powerless in this relationship sp when,0.33,0.33,0.0,0.0,0.0,0.0,0.0
72tXTrSXoMk[4],relationship sp when faced with the choice of bacterial partners in the soil plants have genes that can determine which bacteria get into their root nodules and which ones don't sp,0.0,0.33,0.0,0.0,0.0,0.0,0.0
72tXTrSXoMk[5],sp different plans genotypes choose different bacteria sp here,0.67,0.0,0.0,0.0,0.0,0.0,0.0
72tXTrSXoMk[6],bacteria sp here on the left sp this plant is interacting with the more beneficial strain making sp a good choice sp so,0.33,0.67,0.0,0.0,0.0,0.0,0.0
72tXTrSXoMk[7],choice sp so here on the right sp this sp plant is allowing the less beneficial sp to sp infect the nodules as well katy thank you so,1.33,1.33,0.0,0.0,0.0,0.0,0.0
72tXTrSXoMk[8],the nodules as well katy thank you so much for being on this episode we had a great,2.0,2.33,0.0,0.0,0.0,0.0,0.0
hSgKOKK3L8M[0],sp but sp don't get discouraged yet sp because they actually don't know what kind of number in that test are great or bad sp,0.33,0.0,0.0,0.0,0.0,0.0,0.0
hSgKOKK3L8M[1],sp they rank the candidates on the basis of sp the type of applications they get sp,0.33,0.0,0.0,0.0,0.0,0.0,0.0
hSgKOKK3L8M[2],sp if they get applications where people couldn't even clear the gate sp but you could sp then sp you are in luck sp,0.33,0.33,0.0,0.0,0.0,0.0,0.0
hSgKOKK3L8M[3],sp my final advice would sp be sp to apply to as many universities as you can if your grades are not that great sp,0.67,0.0,0.0,0.0,0.0,0.0,0.0
hSgKOKK3L8M[4],sp a grade point of sp is considered very good and you will have no problem in applying to the university sp,0.67,0.0,0.0,0.0,0.0,0.0,0.0
hSgKOKK3L8M[5],sp but sp we all know the struggle of getting that kind of grades in india sp,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hSgKOKK3L8M[6],sp well if sp you like this video please don't forget to share it with your friends or on your timeline sp and please subscribe and press the like sp button sp,1.33,0.33,0.67,0.0,0.0,0.0,0.0
hSgKOKK3L8M[7],sp i hope this video helped you sp in,1.33,2.33,0.0,0.0,0.0,0.0,0.0
YVHJpAROBvQ[0],not buy one way to do it sp the sp next,0.67,0.0,0.0,0.33,0.0,0.0,0.0
YVHJpAROBvQ[1],way to do it sp the sp next sp way to do it a sp,0.67,0.67,0.0,0.0,0.0,0.0,0.0
YVHJpAROBvQ[2],way to do it a sp lot of companies that are more professional and established do sp this in the early,0.33,0.33,0.0,0.0,0.0,0.33,0.0
YVHJpAROBvQ[3],do sp this in the early days maybe once a year maybe multiple times a sp year sp have sp upcoming sp increases in your pricing sp as,0.67,0.33,0.0,0.0,0.33,0.0,0.0
pVzHaakhKAw[0],sp this is financial advisor patrick munro discussing a very important term sp teaching children about the importance of sp personal finance sp,0.33,0.0,0.67,0.33,0.0,0.0,0.0
pVzHaakhKAw[1],sp on the other hand if sp you sp are conspicuous sp consumption person sp and involve in excess expense and of course do not handle your credit sp affairs in a responsible manner sp there's a very good chance that you will have children sp just like sp you sp,-0.33,0.0,0.0,0.0,0.0,0.0,0.0
127470[0],sp hi i'm here to review uhh sp american wedding sp,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127470[1],sp umm this is the umm third movie sp in the umm american pie series sp,0.0,0.0,1.0,0.0,0.0,0.0,0.0
127470[2],umm sp i mean it does have it's stutters sp a few funny points sp umm sp but they're scattered few and far between so i mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127470[3],between so i mean i definitely wouldn't sp suggest this it's definitely not,-1.0,0.0,1.0,0.0,0.0,0.0,0.0
127470[4],suggest this it's definitely not a kids movie like if you're,-0.33,0.0,0.0,0.0,0.0,0.0,0.0
127470[5],sp umm it's about umm sp about jason biggs character umm jim sp,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127470[6],sp he umm sp he decides to marry sp this girl umm michelle sp who was in the umm sp the uhh very first movie sp and umm sp movie's definitely not as good as sp the uhh sp first one sp,-0.33,0.0,0.33,0.0,0.0,0.0,0.0
127470[7],sp umm second one wasn't that great either sp this one,-1.33,0.0,1.33,0.0,0.0,0.0,0.0
127470[8],great either sp this one sp also doesn't really make the cut sp,-0.33,0.0,0.33,0.0,0.0,0.33,0.0
127470[9],sp umm it's just a lot of umm crude sp crude humor sp,-1.67,0.0,1.0,0.0,0.33,0.33,0.0
127470[10],sp i sp mean like i said it's not a good movie sp umm,-1.0,0.0,0.67,0.0,0.0,0.33,0.0
127470[11],sp umm sp i sp definitely wouldn't suggest it for sp anyone sp,-2.0,0.0,0.67,0.0,0.0,2.0,0.0
127470[12],sp i don't know i didn't really like it that much sp,-1.0,0.0,0.33,0.0,0.0,0.0,0.0
wY8JbFOsp5E[0],is mark we're talking about doing business in china sp and i want you to know the sp three most important sp things sp to observe and that means what,1.0,0.67,0.0,0.0,0.0,0.0,0.0
wY8JbFOsp5E[1],sp title sp so if his name is sp president joe or president jong sp joe is a chinese surname i'm not just saying joe in english sp but,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-iRBcNs9oI8[0],interview and sp this secret sp will also help you if you ever decide to ask out that special someone sp so,1.67,2.0,0.0,0.0,0.0,0.0,0.0
-iRBcNs9oI8[1],strength sp it's when you're very confident sp when you're strong and you feel strong sp,2.0,2.0,0.0,0.0,0.0,0.0,0.0
-iRBcNs9oI8[2],sp then we have our second word sp pose sp a,0.0,0.33,0.0,0.0,0.0,0.0,0.0
-iRBcNs9oI8[3],someone sp so what is this secret i'm telling you about sp well,1.0,1.33,0.0,0.0,0.0,0.0,0.0
-iRBcNs9oI8[4],about sp well it is the secret of sp power pose sp,0.67,1.67,0.0,0.0,0.0,0.0,0.0
-iRBcNs9oI8[5],okay sp so first of all what am i talking about sp what,0.0,2.0,0.0,0.0,0.0,0.0,0.0
-iRBcNs9oI8[6],about sp what is a power pose sp well,0.33,1.67,0.0,0.0,0.0,0.0,0.0
-iRBcNs9oI8[7],pose sp well sp for starters let's look at the word power sp,0.67,0.33,0.0,0.0,0.0,0.0,0.0
-iRBcNs9oI8[8],sp i've drawn this man here sp and sp if you can tell he has a lot of big muscles he looks very strong sp,1.0,2.0,0.0,0.0,0.0,0.0,0.0
-iRBcNs9oI8[9],sp power is similar to strength sp it's,1.33,2.0,0.0,0.0,0.0,0.0,0.0
sLaTZtL0ZIk[0],you sp but sp whether they do or whether they don't you want to give a brief introduction of sp who you are sp,0.0,1.0,0.0,0.33,0.0,0.0,0.0
sLaTZtL0ZIk[1],sp tell everybody your name sp tell everybody sp what your relationship sp is to the couple sp and why you were asked sp to give this speech it sp might go,0.33,0.67,0.0,0.33,0.0,0.0,0.0
txjqbr6FoZs[0],sp got fifteen to twenty hours of teaching a week and been the sp same sp pretty much throughout my three years at sp kingston sp but if you do have a problem sp in lectures or in your seminars sp you can sp go to sp lecture sp office hours and have an appointed time just one on one sp for bigger issues sp during my,0.0,0.0,0.0,0.0,0.0,0.0,0.0
txjqbr6FoZs[1],sp currently studying applied economics sp and the best aspect of this course for me sp is sp that sp applied economics sp applies economics to real life sp and real modules sp so you are,0.67,0.33,0.0,0.0,0.0,0.0,0.0
txjqbr6FoZs[2],modules sp so you are doing a degree that you can use sp in sp every day sp standards with writing presenting sp speaking about it sp so the best part of the course for me sp,1.67,0.33,1.0,0.0,0.0,0.0,0.0
txjqbr6FoZs[3],sp i did study economics at sp school i studied economics sp a level standard however i,0.33,0.0,0.67,0.0,0.0,0.0,0.0
txjqbr6FoZs[4],standard however i studied it in a foreign country sp so when i came to england and i came to kingston sp they brought me into an introductory course sp of economics sp as a module sp and that really helped sp bringing me up sp to the english standard sp of economics sp,0.33,0.0,0.33,0.33,0.0,0.0,0.0
txjqbr6FoZs[5],sp the types of resources i found available and helpful at kingston university sp is definitely the library sp open so if you sp are sp a night owl like me and like to study in the evenings you can go by and spend the whole night sp working in the library sp also,1.0,0.0,0.33,0.67,0.0,0.0,0.33
txjqbr6FoZs[6],library sp also different things like there are sp lots of sp people you can speak to about even sp mathematics problems especially on a course like economics sp or helping you find you part time jobs accommodation for sp second and third year sp so,1.33,0.0,0.67,0.0,0.0,0.0,0.33
txjqbr6FoZs[7],year sp so used all these sp different sp types sp of sp systems to help me throughout sp,1.0,0.33,0.0,0.0,0.0,0.0,0.0
jVayR0VClxQ[0],sp a lot of sp christians don't understand why it is sp that sp jesus does not sp speak to them sp,-0.67,0.0,0.67,0.33,0.0,0.0,0.0
jVayR0VClxQ[1],sp i am calling you to be holy sp as i am sp friend sp is your sin sp blocking you sp from heaven sp,1.0,0.0,0.33,0.67,0.0,0.67,0.0
jVayR0VClxQ[2],sp then sp it is sp time to repent sp and give yourself sp fully sp to jesus sp,0.0,0.0,0.0,1.0,0.0,0.0,0.0
jVayR0VClxQ[3],sp he will lead you sp and sp he will speak to you sp if you remove sp the sp block sp,1.67,0.0,0.0,0.0,0.0,0.0,0.0
jVayR0VClxQ[4],sp jesus sp gave me a word in prayer sp which sp i want to sp read sp to you sp too sp often sp people have walked sp away from me sp and sinned sp,0.0,0.0,0.67,0.33,0.0,0.0,0.0
jVayR0VClxQ[5],sp i have sp called sp them to come and serve me sp but sp they were not interested in heeding my call sp so i gave them over to a depraved mind sp to let sp them do sp what their desires dictate sp them to doi sp am sp holy and to follow me sp you sp must sp be holy sp,0.0,0.0,0.33,0.0,0.0,0.0,0.67
jVayR0VClxQ[6],sp the reason why you are blocked off from me sp is sp because of your sin leave,-0.67,0.0,0.0,1.67,0.0,0.67,0.0
jVayR0VClxQ[7],sp with me sp you will be able to do much sp in my kingdom sp but in sin sp you are not sp with sp me sp and will not sp achieve the righteousness of sp god sp,1.0,0.0,0.67,0.33,0.0,0.0,0.0
gZF-YNQHqwI[0],sp that's sp the general story sp structure shape but here's the,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gZF-YNQHqwI[1],structure shape but here's the sp shape sp of sp three act story structure sp,0.67,0.67,0.0,0.0,0.0,0.0,0.0
gZF-YNQHqwI[2],sp this is the tool i want to give you sp it's using,1.33,1.33,0.0,0.0,0.0,0.0,0.0
gZF-YNQHqwI[3],give you sp it's using beginning middle end sp as a diagnostic tool sp,0.33,0.33,0.0,0.0,0.0,0.0,0.33
gZF-YNQHqwI[4],sp now sp when i'm watching content sp i'm looking to see does it work does it hit all,0.33,0.33,0.0,0.33,0.0,0.0,0.0
gZF-YNQHqwI[5],does it work does it hit all of these marks sp,0.0,0.0,0.67,0.67,0.0,0.0,0.0
gZF-YNQHqwI[6],sp see the fractal working here sp and then if you,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gZF-YNQHqwI[7],sp and sp if we went in sp we would sp see that it's a little sp razor it's like a sp,0.33,0.0,0.0,0.0,0.33,0.0,0.0
gZF-YNQHqwI[8],sp razor it's like a sp jigsaw sp going sp up up up up up sp each scene,0.33,0.0,0.0,0.0,0.0,0.0,0.0
gZF-YNQHqwI[9],up up sp each scene has the same shape each sp beat sp has sp the sp same shape sp,1.67,1.0,0.0,0.0,0.0,0.0,0.0
gZF-YNQHqwI[10],sp i think this is incredibly cool sp,2.67,2.67,0.0,0.0,0.67,0.0,0.0
214095[0],sp hello umm sp,0.33,0.0,0.67,0.67,0.0,0.0,0.0
214095[1],sp i'm here right now reviewing sp the movie currently in sp theaters sp called sp the heartbreak kid sp umm sp,0.0,0.0,1.0,0.0,0.0,0.0,0.0
214095[2],you laugh and this one sp i mean sp you can laugh about sp it being so bad sp but uhh sp that's about it sp,-2.33,0.33,0.67,0.33,0.0,0.0,0.0
214095[3],sp don't see this movie sp,-2.67,0.0,1.0,0.67,0.0,1.33,0.0
214095[4],sp it's not a good movie sp,-2.33,0.0,1.67,0.0,0.0,0.0,0.0
214095[5],sp it's sp incredibly predictable sp and carlos is in it sp who sp steals jokes sp,-2.0,0.0,0.0,0.67,0.0,1.33,0.0
214095[6],sp so don't see sp it sp,0.0,0.33,0.67,0.0,0.0,0.0,0.0
214095[7],sp umm sp this movie stars ben stiller sp,-1.33,0.0,0.67,0.67,0.0,0.67,0.0
214095[8],sp it's about this guy that marries this girl sp and sp while they're on his stutter sp while they're on their honeymoon sp he sp finds someone sp who sp he loves more sp or he sp begins to fall in love sp with and sp so it's kind of about that sp umm,0.0,0.0,1.0,0.33,0.0,0.0,0.0
214095[9],sp this movie's awful sp uhh,-1.67,0.0,0.0,0.0,0.0,0.67,0.0
214095[10],sp it's sp probably the most sp predictable sp comedy i've ever seen sp uhh sp,-1.0,0.67,0.67,0.0,0.0,0.0,0.0
214095[11],sp uhh sp you don't sp you don't stutter have to be clever to know what's about to happen sp umm sp,-0.33,0.33,0.33,0.67,0.0,0.0,0.0
214095[12],sp most of the jokes sp i can sp put together before sp they sp were finished sp and it was just bad i sp mean ben,-1.67,0.0,0.0,0.0,0.0,0.33,0.0
214095[13],just bad i sp mean ben stiller sp is usually pretty funny sp his,-0.67,0.0,0.0,0.0,0.0,0.0,0.0
214095[14],funny sp his movies aren't always sp don't always have the best plot sp but sp at least sp they make you laugh and this one,-0.67,0.0,0.33,0.0,0.0,0.0,0.0
Z3fcd1wdzr0[0],important sp it's definitely an opportunity for you to meet people that you would never have the chance to meet in person sp and,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z3fcd1wdzr0[1],person sp and sp to sp i guess sp the best way to put it is sp to sp educate yourself sp for different industries as well sp on sp,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z3fcd1wdzr0[2],as well sp on sp you sp can learn about sp under armour you can learn about sp you can learn about target so it's sp definitely a tool that you can utilize so sp if,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Z3fcd1wdzr0[3],can utilize so sp if anyone gets sp on definitely have sp an sp awesome profile picture update your contact information sp because,1.33,0.67,0.0,0.0,0.0,0.0,0.67
Z3fcd1wdzr0[4],information sp because as sp a recruiter we do look at that your job,0.67,0.67,0.0,0.0,0.0,0.0,0.0
Z3fcd1wdzr0[5],look at that your job is to differentiate yourself sp and to get to be the audacious person sp that cuts through sp all sp the sp clutter sp,2.0,0.67,0.0,0.0,0.33,0.0,0.0
Z3fcd1wdzr0[6],sp so how sp do sp you do that sp one,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z3fcd1wdzr0[7],that sp one way sp is to pick up the phone and call the person sp that you want to talk to it's sp kind,0.33,1.0,0.0,0.0,0.0,0.0,0.0
kjQAkrdbREk[0],sp as a brisbane girl it was extremely devastating watching the recent queensland sp floods and also sp hard to know sp just how you can help sp out as a swimmer travelled,-2.33,0.0,1.0,0.0,0.0,0.0,0.0
kjQAkrdbREk[1],out as a swimmer travelled the world sp through my sp swimming career which extremely fortunate sp for but nothing better than coming back sp to your local cafes and restaurants sp so sp if,2.0,1.67,0.0,0.0,0.0,0.0,0.0
kjQAkrdbREk[2],restaurants sp so sp if we can sp all sp eat local drink local sp and buy local sp we can sp all help sp queensland get back sp in business sp,1.33,1.0,0.0,0.0,0.0,0.0,0.0
81538[0],sp curtis here with the new uhh sp the new hannibal movie hannibal rising sp now,0.0,0.33,0.0,0.0,0.0,0.0,0.0
81538[1],rising sp now this is a blockbuster exclusive i guess sp apparently,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81538[2],sp if you wanna see a movie sp that takes sp before hannibal sp i recommend it but if you sp like the hannibal movies and you don't wanna ruin it sp don't see this movie sp it will probably ruin sp it and uhh sp you probably won't like hannibal anymore sp he's sp i don't sp know really sp,-1.33,0.0,0.67,0.0,0.0,0.33,0.0
81538[3],sp know really sp really weakling in this movie sp okay sp alright sp that's my review sp thanks,-1.0,0.0,1.0,0.0,0.0,1.0,0.0
81538[4],guess sp apparently a straight to rental sp uhh,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81538[5],sp uhh so sp {cg} sp you can find it at any blockbuster sp uhh i,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81538[6],blockbuster sp uhh i was expecting something a little more sp gory maybe a little more horror ish sp,-0.67,0.0,0.0,0.0,0.33,0.0,0.0
81538[7],sp but it was really sp really like stutter timid and sp uhh sp pretty pretty uhh sp pretty low sp i don't know low budget but not really i don't know sp hannibal,-1.33,0.0,0.0,0.0,0.0,0.33,0.0
81538[8],know sp hannibal uhh sp hannibal lecter wasn't really sp he was sp played as a character that was like a teenager and he he sp stutter was kind of like progressing into his stage sp of the other movies sp uhh,-1.33,0.0,0.0,0.0,0.0,0.33,0.0
81538[9],uhh sp i wouldn't really recommended it if sp recommend it stutter if you wanna sp like watch a hannibal movie i'd recommend just going to see like silence of the lambs sp or uhh hannibal the other hannibal movies sp which are,-2.33,0.0,0.67,0.0,0.0,1.0,0.0
